"year","desc","count"
"2014","OFFENSES AGAINST PUBLIC ADMINI",10295
"2014","OFFENSES AGAINST PUBLIC SAFETY",107
"2014","OFFENSES AGAINST THE PERSON",1341
"2014","OFFENSES INVOLVING FRAUD",1522
"2014","OFFENSES RELATED TO CHILDREN",136
"2014","OTHER OFFENSES RELATED TO THEF",1342
"2014","OTHER STATE LAWS",19
"2014","OTHER STATE LAWS (NON PENAL LA",558
"2014","OTHER TRAFFIC INFRACTION",1
"2014","PETIT LARCENY",85101
"2014","PETIT LARCENY OF MOTOR VEHICLE",76
"2014","POSSESSION OF STOLEN PROPERTY",2516
"2014","PROSTITUTION & RELATED OFFENSES",126
"2014","RAPE",1309
"2014","ROBBERY",16574
"2014","SEX CRIMES",5260
"2014","THEFT-FRAUD",4689
"2014","THEFT OF SERVICES",424
"2014","UNAUTHORIZED USE OF A VEHICLE",1709
"2014","UNDER THE INFLUENCE OF DRUGS",1
"2014","UNLAWFUL POSS. WEAP. ON SCHOOL",5
"2014","VEHICLE AND TRAFFIC LAWS",5839
"2015","",1175
"2015","ABORTION",2
"2015","ADMINISTRATIVE CODE",1063
"2015","ADMINISTRATIVE CODES",2
"2015","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",86
"2015","ALCOHOLIC BEVERAGE CONTROL LAW",78
"2015","ANTICIPATORY OFFENSES",2
"2015","ARSON",1037
"2015","ASSAULT 3 & RELATED OFFENSES",52242
"2015","BURGLAR'S TOOLS",286
"2015","BURGLARY",15153
"2015","CHILD ABANDONMENT/NON SUPPORT",32
"2015","CRIMINAL MISCHIEF & RELATED OF",48492
"2015","CRIMINAL TRESPASS",4324
"2015","DANGEROUS DRUGS",23681
"2015","DANGEROUS WEAPONS",10525
"2015","DISORDERLY CONDUCT",56
"2015","DISRUPTION OF A RELIGIOUS SERV",7
"2015","ENDAN WELFARE INCOMP",23
"2015","ESCAPE 3",14
"2015","FELONY ASSAULT",20429
"2015","FORGERY",5247
"2015","FORTUNE TELLING",1
"2015","FRAUDS",3549
"2015","FRAUDULENT ACCOSTING",172
"2015","GAMBLING",343
"2015","GRAND LARCENY",44216
"2015","GRAND LARCENY OF MOTOR VEHICLE",7316
"2015","HARRASSMENT 2",62320
"2015","HOMICIDE-NEGLIGENT-VEHICLE",3
"2015","HOMICIDE-NEGLIGENT,UNCLASSIFIE",9
"2015","INTOXICATED & IMPAIRED DRIVING",5935
"2015","INTOXICATED/IMPAIRED DRIVING",5
"2015","JOSTLING",38
"2015","KIDNAPPING",1
"2015","KIDNAPPING & RELATED OFFENSES",139
"2015","KIDNAPPING AND RELATED OFFENSES",1
"2015","LOITERING",1
"2015","LOITERING/GAMBLING (CARDS, DIC",13
"2015","MISCELLANEOUS PENAL LAW",13492
"2015","MURDER & NON-NEGL. MANSLAUGHTER",345
"2015","NEW YORK CITY HEALTH CODE",11
"2015","NYS LAWS-UNCLASSIFIED FELONY",533
"2015","NYS LAWS-UNCLASSIFIED VIOLATION",6
"2015","OFF. AGNST PUB ORD SENSBLTY &",20882
"2015","OFFENSES AGAINST PUBLIC ADMINI",9427
"2015","OFFENSES AGAINST PUBLIC SAFETY",71
"2015","OFFENSES AGAINST THE PERSON",1287
"2015","OFFENSES INVOLVING FRAUD",1183
"2015","OFFENSES RELATED TO CHILDREN",145
"2015","OTHER OFFENSES RELATED TO THEF",1522
"2015","OTHER STATE LAWS",11
"2015","OTHER STATE LAWS (NON PENAL LA",337
"2015","OTHER STATE LAWS (NON PENAL LAW)",1
"2015","OTHER TRAFFIC INFRACTION",2
"2015","PETIT LARCENY",81661
"2015","PETIT LARCENY OF MOTOR VEHICLE",73
"2015","POSSESSION OF STOLEN PROPERTY",2029
"2015","PROSTITUTION & RELATED OFFENSES",113
"2015","RAPE",1399
"2015","ROBBERY",16956
"2015","SEX CRIMES",5640
"2015","THEFT-FRAUD",4984
"2015","THEFT OF SERVICES",479
